spectrum_id,sample_id,validation_fold,l0_required,canonical_topology,voltage,time,manual_fmin,manual_fmax,predicted_fmin,predicted_fmax
"C:\Users\Herman\Desktop\Ti overlayer backup\140.eisfit.json::\\ELECTROLYZER\PEM-WE_measurements\2025\141_II_II_Ti + IrOx Ar14 O1, etched,Ti100nm 0.5Pa Ir 25nm, RDC731 S1\II_Day1_procedure1_05_PEIS_C01.mpt::working::working::1",140,129,True,TWO_PROCESS,1.3599208924242423,3997.500974804763,10.0,5435.93,3.0037369426932745,6493.7973664226
"C:\Users\Herman\Desktop\Ti overlayer backup\140.eisfit.json::\\ELECTROLYZER\PEM-WE_measurements\2025\141_II_II_Ti + IrOx Ar14 O1, etched,Ti100nm 0.5Pa Ir 25nm, RDC731 S1\II_Day1_procedure1_05_PEIS_C01.mpt::working::working::2",140,129,True,TWO_PROCESS,1.3799244015151513,4101.476156476242,10.0,6333.79,2.779249162231064,6863.449127029513
"C:\Users\Herman\Desktop\Ti overlayer backup\140.eisfit.json::\\ELECTROLYZER\PEM-WE_measurements\2025\141_II_II_Ti + IrOx Ar14 O1, etched,Ti100nm 0.5Pa Ir 25nm, RDC731 S1\II_Day1_procedure1_05_PEIS_C01.mpt::working::working::3",140,129,True,TWO_PROCESS,1.3998871196969698,4205.020773424242,0.500352,7374.48,2.327669134173647,7941.79501143872
"C:\Users\Herman\Desktop\Ti overlayer backup\140.eisfit.json::\\ELECTROLYZER\PEM-WE_measurements\2025\141_II_II_Ti + IrOx Ar14 O1, etched,Ti100nm 0.5Pa Ir 25nm, RDC731 S1\II_Day1_procedure1_05_PEIS_C01.mpt::working::working::4",140,129,True,ONE_PROCESS,1.419881496969697,4309.753709210916,0.500352,5435.93,2.471080916134191,6283.405898385135
"C:\Users\Herman\Desktop\Ti overlayer backup\140.eisfit.json::\\ELECTROLYZER\PEM-WE_measurements\2025\141_II_II_Ti + IrOx Ar14 O1, etched,Ti100nm 0.5Pa Ir 25nm, RDC731 S1\II_Day1_procedure1_05_PEIS_C01.mpt::working::working::5",140,129,True,TWO_PROCESS,1.439876065151515,4413.8309343834035,0.500352,4670.52,2.306125907296627,7234.464222939804
"C:\Users\Herman\Desktop\Ti overlayer backup\140.eisfit.json::\\ELECTROLYZER\PEM-WE_measurements\2025\141_II_II_Ti + IrOx Ar14 O1, etched,Ti100nm 0.5Pa Ir 25nm, RDC731 S1\II_Day1_procedure1_05_PEIS_C01.mpt::working::working::6",140,129,True,ONE_PROCESS,1.4598840363636363,4519.06128554967,0.500352,7374.48,3.5249529966929,6895.355585112935
"C:\Users\Herman\Desktop\Ti overlayer backup\140.eisfit.json::\\ELECTROLYZER\PEM-WE_measurements\2025\141_II_II_Ti + IrOx Ar14 O1, etched,Ti100nm 0.5Pa Ir 25nm, RDC731 S1\II_Day1_procedure1_05_PEIS_C01.mpt::working::working::7",140,129,True,ONE_PROCESS,1.4798527500000003,4624.221763043108,4.0,7374.48,3.492311196923432,7683.295185870019
"C:\Users\Herman\Desktop\Ti overlayer backup\140.eisfit.json::\\ELECTROLYZER\PEM-WE_measurements\2025\141_II_II_Ti + IrOx Ar14 O1, etched,Ti100nm 0.5Pa Ir 25nm, RDC731 S1\II_Day1_procedure1_05_PEIS_C01.mpt::working::working::8",140,129,True,ONE_PROCESS,1.499899993939394,4724.77127242339,4.0,8590.4,2.7835869552525665,7900.960825055502
"C:\Users\Herman\Desktop\Ti overlayer backup\140.eisfit.json::\\ELECTROLYZER\PEM-WE_measurements\2025\141_II_II_Ti + IrOx Ar14 O1, etched,Ti100nm 0.5Pa Ir 25nm, RDC731 S1\II_Day1_procedure1_05_PEIS_C01.mpt::working::working::9",140,129,True,ONE_PROCESS,1.519939712121212,4824.085756269065,4.0,4670.52,2.1130553589519456,8048.780727019573
"C:\Users\Herman\Desktop\Ti overlayer backup\140.eisfit.json::\\ELECTROLYZER\PEM-WE_measurements\2025\141_II_II_Ti + IrOx Ar14 O1, etched,Ti100nm 0.5Pa Ir 25nm, RDC731 S1\II_Day1_procedure1_05_PEIS_C01.mpt::working::working::12",140,129,True,ONE_PROCESS,1.5798403818181816,5107.137116854294,1.0,10002.2,1.8966913994142391,9649.216928753678
